,Adress,Anläggningsnummer,Antal_WC,Antal_urinoarer,Beskrivning,Bild,CHANGE_DATE,CID,CREATE_DATE,Driftansvar,El_Service,FEATURE_TYPE_OBJECT_ID,FEATURE_TYPE_VERSION_ID,Fabrikat,Färg,Historisk_litterering,Huvudman,Index,Innehåller,Installerad,Litterering,MAIN_ATTRIBUTE_DESCRIPTION,MAIN_ATTRIBUTE_VALUE,Modell,Namn,OBJECT_ID,Projektnr,Pumpgrop,Status,Tillgänglighetsanpassad,VALID_FROM,VALID_TO,VERSION_ID,Vattenservice,fid,FEATURE_TYPE_NAME,geometry,geometry_centroid,lon,lat,CHANGE_DATE_fmt,CREATE_DATE_fmt
12,Nioörtsvägen 24,0,,,,,202510101016.0,2357681505562074.0,202510101016.0,Miljötekniska,,15303196,1,Urinoar,Okänt,,Trafikkontoret,,,,ID014,Nioörtsvägen 24,Nioörtsvägen 24,Urinoar,Nioörtsvägen 24,23576815,,Nej,I funktion,Nej,202510101016.0,,1,,13,Toalett,POINT (150945.4819 6576265.9579),POINT (18.016595587171746 59.30159280546609),18.016595587171746,59.30159280546609,,
13,Mikrofonvägen 4,0,,,,,202510101020.0,2357681705562097.0,202510101020.0,Miljötekniska,,15303196,1,Urinoar,Okänt,,Trafikkontoret,,,,ID013,Mikrofonvägen 4,Mikrofonvägen 4,Urinoar,Mikrofonvägen 4,23576817,,Nej,I funktion,Nej,202510101020.0,,1,,14,Toalett,POINT (149829.5382 6575835.7964),POINT (17.997008305269237 59.29773242471494),17.997008305269237,59.29773242471494,,
14,Adlerbethsgatan 23,G45,,,Tillgänglighetsanpassad WC,,202401170847.0,1530326301670139.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Grön,,Trafikkontoret,1150063BT,,,G45,Adlerbethsgatan 23,Adlerbethsgatan 23,Midi,Adlerbethsgatan 23,15303263,,Nej,I funktion,Ja,201801080000.0,,1,,15,Toalett,POINT (150218.6966 6579600.8492),POINT (18.00384205155917 59.33152983365567),18.00384205155917,59.33152983365567,,
15,Skidvägen 11,0,,,,,202510130751.0,2357681805562098.0,202510101023.0,Miljötekniska,,15303196,1,Urinoar,Okänt,,Trafikkontoret,,,,ID016,Skidvägen 11,Skidvägen 11,Urinoar,Skidvägen 11,23576818,,Nej,I funktion,Nej,202510101023.0,,1,,16,Toalett,POINT (148644.7918 6575448.5966),POINT (17.976217805892684 59.29425453454719),17.976217805892684,59.29425453454719,,
16,Sturegatan 12 - Humlegården,G01,,,Tillgänglighetsanpassad WC,,202401170848.0,1530321401670174.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Grön/spegel,,Trafikkontoret,1150002BT,,,G01,Sturegatan 12 - Humlegården,Sturegatan 12 - Humlegården,Midi,Sturegatan 12 - Humlegården,15303214,,Nej,I funktion,Ja,201801080000.0,,1,,17,Toalett,POINT (154196.3196 6580264.9498),POINT (18.073733624079107 59.33747039867989),18.073733624079107,59.33747039867989,,
17,Långholmsbadet,G20,,,"Tillgänglighetsanpassad WC, 2 x WC, 1 x urinoar",,202510130901.0,1530323305562069.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Grön,,Trafikkontoret,1150029BT,,,G20,Långholmsbadet,Långholmsbadet,Jumbo,Långholmsbadet,15303233,,Ja,I funktion,Ja,201801080000.0,,1,,18,Toalett,POINT (151427.4962 6578513.7248),POINT (18.025070996835627 59.32176879952681),18.025070996835627,59.32176879952681,,
18,Tegnerlunden,G19,,,Tillgänglighetsanpassad WC,,202401170849.0,1530323201134716.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Grön,,Trafikkontoret,1150028BT,,,G19,Tegnerlunden,Tegnerlunden,Midi,Tegnerlunden,15303232,,Nej,I funktion,Ja,201801080000.0,,1,,19,Toalett,POINT (153153.0039 6580380.617),POINT (18.05540320302912 59.33851777285443),18.05540320302912,59.33851777285443,,
19,Husbystigen 9,G98,,,Tillgänglighetsanpassad,,202401170850.0,1775757302473154.0,202009221049.0,Danfo,,15303196,1,Danfo,Okänt,,Trafikkontoret,32,,,G98,Husbystigen 9,Husbystigen 9,Inbygg. 100,Husbystigen 9,17757573,,Nej,I funktion,Ja,202009221049.0,,1,,20,Toalett,POINT (145373.6115 6588040.2946),POINT (17.918542496721965 59.407261493596074),17.918542496721965,59.407261493596074,,
20,Fridhemsplan 23A,G89,,,Tillgänglighets anpassad,,202401170851.0,1674386901811746.0,201904301227.0,JCDecaux,,15303196,1,JCDecaux,Grön,,Trafikkontoret,1150020BT,,,G89,Fridhemsplan 23A,Fridhemsplan 23A,Midi,Fridhemsplan 23A,16743869,,Nej,I funktion,Ja,201904301200.0,,1,,21,Toalett,POINT (151593.647 6579616.8709),POINT (18.02799723176801 59.33167070423282),18.02799723176801,59.33167070423282,,
21,Tantolunden-Skarpskyttestigen 6   ,G81,,,Tillgänglighetsanpassad,,202510100909.0,1538075005562059.0,201802282113.0,Danfo,,15303196,1,Danfo,Okänt,,Trafikkontoret,274,,,G81,Tantolunden-Skarpskyttestigen 6   ,Tantolunden-Skarpskyttestigen 6   ,Tetragon 151,Tantolunden-Skarpskyttestigen 6   ,15380750,,Ja,I funktion,Ja,201802240000.0,,1,,22,Toalett,POINT (152173.7552 6577507.0664),POINT (18.038167350083842 59.31272923986922),18.038167350083842,59.31272923986922,,
22,Arenavägen - Palmfeltsvägen,G50,,,Tillgänglighetsanpassad,,202401170852.0,1538071601186000.0,201802282113.0,Danfo,,15303196,1,Danfo,Grön,,Trafikkontoret,47,,,G50,Arenavägen - Palmfeltsvägen,Arenavägen - Palmfeltsvägen,Paragon 020,Arenavägen - Palmfeltsvägen,15380716,,Nej,I funktion,Ja,201802240000.0,,1,,23,Toalett,POINT (154488.344 6575458.348),POINT (18.07876493750687 59.294320429113576),18.07876493750687,59.294320429113576,,
23,Klädesvägen 3,G93,,,Tillgänglighetsanpassad,,202401170918.0,1725198602149695.0,202002251457.0,JCDecaux,,15303196,1,JCDecaux,Grå,,Trafikkontoret,1150076BT,,,G93,Klädesvägen 3,Klädesvägen 3,Midi,Klädesvägen 3,17251986,,Nej,I funktion,Ja,202002251400.0,,1,,24,Toalett,POINT (146507.3776 6580422.2488),POINT (17.938628499245812 59.33888881156158),17.938628499245812,59.33888881156158,,
24,Söder Mälarstrand 115 ,0,,,,,202510100933.0,2357572205562041.0,202510100933.0,Miljötekniska,,15303196,1,Urinoar,Okänt,,Trafikkontoret,,,,ID027,Söder Mälarstrand 115,Söder Mälarstrand 115,Urinoar,Söder Mälarstrand 115,23575722,,Nej,I funktion,Nej,202510100933.0,,1,,25,Toalett,POINT (151794.6054 6578250.2176),POINT (18.031516314749535 59.31940199962714),18.031516314749535,59.31940199962714,,
25,Allmänna Gränd-Djurgården   ,G77,,,Tillgänglighetsanpassad,,202209011259.0,1538074601186030.0,201802282113.0,Danfo,,15303196,1,Danfo,Grön,,Trafikkontoret,39,,,G77,Allmänna Gränd-Djurgården   ,Allmänna Gränd-Djurgården   ,Tetragon 111,Allmänna Gränd-Djurgården   ,15380746,,Nej,I funktion,Ja,201802240000.0,,1,,26,Toalett,POINT (155454.56 6578831.366),POINT (18.095805933395503 59.324587341449636),18.095805933395503,59.324587341449636,,
26,Abrahamsberg (mitt emot T-stationen),0,,,,,202510101141.0,2357684305562110.0,202510101141.0,Danfo,,15303196,1,Urinoar,Grön,,Trafikkontoret,,,,ID000,Abrahamsberg,Abrahamsberg,Urinoar,Abrahamsberg,23576843,,Nej,I funktion,Nej,202510101141.0,,1,,27,Toalett,POINT (147283.0038 6580168.349),POINT (17.952260803156545 59.3366153624459),17.952260803156545,59.3366153624459,,
27,Klara Mälarstrand 4,G87,,,3st toaletter 1st tillgänglighetsanpassad (säsongs öppna),,202210051007.0,1663145401718599.0,201902270903.0,Miljötekniska,,15303196,1,,Okänt,,Trafikkontoret,Offentlig toalett,,,G87,Klara Mälarstrand 4,Klara Mälarstrand 4,,Klara Mälarstrand 4,16631454,,Nej,I funktion,Ja,201902270800.0,,1,,28,Toalett,POINT (153299.3317 6579198.4177),POINT (18.057956335599766 59.32790454232425),18.057956335599766,59.32790454232425,,
28,Vällinby torg - Vittangiplan 28,G80,,,Tillgänglighetsanpassad,,202401170853.0,1538074901186033.0,201802282113.0,JCDecaux,,15303196,1,JCDecaux,Grå,,Trafikkontoret,1150081BT,,,G80,Vällinby torg - Vittangiplan 28,Vällinby torg - Vittangiplan 28,Midi,Vällinby torg - Vittangiplan 28,15380749,,Nej,I funktion,Ja,201802240000.0,,1,,29,Toalett,POINT (142728.971 6583029.829),POINT (17.872147449774406 59.362247713303596),17.872147449774406,59.362247713303596,,
29,Lyckselevägen 58  Grötfatet parklek,G30,,,Tillgänglighetsanpassad WC,,202401170853.0,1530324501670144.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Grön,,Trafikkontoret,1150041BT,,,G30,Lyckselevägen 58  Grötfatet parklek,Lyckselevägen 58  Grötfatet parklek,Midi,Lyckselevägen 58  Grötfatet parklek,15303245,,,I funktion,Ja,201801080000.0,,1,,30,Toalett,POINT (142572.7844 6583590.2023),POINT (17.869381771099214 59.36727519618273),17.869381771099214,59.36727519618273,,
30,Älvsjö torg 19,G73,1.0,1.0,"Tillgänglighetsanpassad, integrerad cykelpump, kortbetalning",,202209011308.0,1538074201186026.0,201802282113.0,Danfo,,15303196,1,Danfo,Grå,,Trafikkontoret,292,,,G73,Älvsjö torg 19,Älvsjö torg 19,Paragon 101,Älvsjö torg 19,15380742,,Nej,I funktion,Ja,201802240000.0,,1,,31,Toalett,POINT (150509.894 6573731.118),POINT (18.008943951878422 59.278839186301134),18.008943951878422,59.278839186301134,,
31,Karlavägen - Sibyllegatan,G72,,,Tillgänglighetsanpassad,,202401170855.0,1538074101186025.0,201802282113.0,Danfo,,15303196,1,Danfo,Grön,,Trafikkontoret,290,,,G72,Karlavägen - Sibyllegatan,Karlavägen - Sibyllegatan,Paragon 101,Karlavägen - Sibyllegatan,15380741,,Nej,I funktion,Ja,201802240000.0,,1,,32,Toalett,POINT (154680.569 6580461.387),POINT (18.082246633292257 59.33922864207851),18.082246633292257,59.33922864207851,,
32,Slottskajen - Stallbron - Mynttorget,G59,,,"Tillgänglighetsanpassad, integrerad cykelpump, kortbetalning",,202310300645.0,1538072601664439.0,201802282113.0,Danfo,,15303196,1,Danfo,Grön,,Trafikkontoret,64,,,G59,Slottskajen - Stallbron,Slottskajen - Stallbron,Paragon 101,Slottskajen - Stallbron,15380726,,Nej,Ur funktion,Ja,201802240000.0,,1,,33,Toalett,POINT (153951.931 6579106.3499),POINT (18.069418255018885 59.327072486620196),18.069418255018885,59.327072486620196,,
33,Hornsberg strand 77 - Pär Lagerkvists gata,G02,,,"Tillgänglighetsanpassad WC, 2 x WC, 1 x urinoar",,202401170855.0,1530321503533808.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Svart,,Trafikkontoret,1150004BT,,,G02,Hornsberg strand 77 - Pär Lagerkvists gata,Hornsberg strand 77 - Pär Lagerkvists gata,Jumbo,Hornsberg strand 77 - Pär Lagerkvists gata,15303215,,Ja,I funktion,Ja,201801080000.0,,1,,34,Toalett,POINT (150280.6091 6580547.2183),POINT (18.004930958201403 59.34002496076691),18.004930958201403,59.34002496076691,,
34,Karlavägen 40,0,,,,,202510101446.0,2357691705562218.0,202510101446.0,Miljötekniska,,15303196,1,Urinoar,Grön,,Trafikkontoret,,,,ID026,Karlavägen 40,Karlavägen 40,Urinoar,Karlavägen 40,23576917,,Nej,I funktion,Nej,202510101446.0,,1,,35,Toalett,POINT (154476.0073 6580542.8156),POINT (18.078653782974673 59.33996180966577),18.078653782974673,59.33996180966577,,
35,Djurgårdsvägen 60,0,,,,,202510101443.0,2357690905562217.0,202510101442.0,Miljötekniska,,15303196,1,Urinoar,Grå,,Trafikkontoret,,,,ID025,Djurgårdsvägen 60,Djurgårdsvägen 60,Urinoar,Djurgårdsvägen 60,23576909,,Nej,I funktion,Nej,202510101442.0,,1,,36,Toalett,POINT (155439.4664 6578989.8293),POINT (18.095544816116824 59.32600999581941),18.095544816116824,59.32600999581941,,
36,Skeppsbron 38,G74,,,"Tillgänglighetsanpassad, integrerad cykelpump",,202209011316.0,1538074301186027.0,201802282113.0,Danfo,,15303196,1,Danfo,Grå,,Trafikkontoret,30,,,G74,Skeppsbron 38,Skeppsbron 38,,Skeppsbron 38,15380743,,Nej,I funktion,Ja,201802240000.0,,1,,37,Toalett,POINT (154293.423 6578664.496),POINT (18.075407994099443 59.32310281150122),18.075407994099443,59.32310281150122,,
37,Skebokvarnsvägen - busstorget,G51,,,"Tillgänglighetsanpassad, integrerad cykelpump",,202209011317.0,1538071701186001.0,201802282113.0,Danfo,,15303196,1,Danfo,Grön,,Trafikkontoret,310,,,G51,Skebokvarnsvägen - busstorget,Skebokvarnsvägen - busstorget,Paragon 101,Skebokvarnsvägen - busstorget,15380717,,Nej,I funktion,Ja,201802240000.0,,1,,38,Toalett,POINT (152445.366 6571984.449),POINT (18.04287397745233 59.263153152391354),18.04287397745233,59.263153152391354,,
38,Strömparterren 3   ,G79,,,"Tillgänglighetsanpassad, kortbetalning",,202401170856.0,1538074801186032.0,201802282113.0,Danfo,,15303196,1,Danfo,Grön,,Trafikkontoret,53,,,G79,Strömparterren 3   ,Strömparterren 3   ,Inbygg. 100,Strömparterren 3   ,15380748,,Nej,I funktion,Ja,201802240000.0,,1,,39,Toalett,POINT (153988.669 6579271.195),POINT (18.070066627115256 59.32855188831954),18.070066627115256,59.32855188831954,,
39,Hjorthagen/Artemistgatan 91,G32,,,Tillgänglighetsanpassad WC,,202401170856.0,1530324701460630.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Grön,,Trafikkontoret,1150045BT,,,G32,Hjorthagen/Artemistgatan 91,Hjorthagen/Artemistgatan 91,Midi,Hjorthagen/Artemistgatan 91,15303247,,Nej,I funktion,Ja,201801080000.0,,1,,40,Toalett,POINT (155565.1474 6582203.4073),POINT (18.097835324929925 59.35485525593404),18.097835324929925,59.35485525593404,,
40,Drottninggatan,G26,,,Tillgänglighetsanpassad WC,,202401170856.0,1530324001134724.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Grön,,Trafikkontoret,1150036BT,,,G26,Drottninggatan,Drottninggatan,Midi,Drottninggatan,15303240,,Nej,I funktion,Ja,201801080000.0,,1,,41,Toalett,POINT (153089.9905 6580644.049),POINT (18.054299733359954 59.340882956186896),18.054299733359954,59.340882956186896,,
41,Arenagången - under busstorget,G75,,,Urinoarer,,202401170857.0,1538074401186028.0,201802282113.0,Danfo,,15303196,1,Danfo,Okänt,,Trafikkontoret,183,,,G75,Arenagången - under busstorget,Arenagången - under busstorget,Paragon 002,Arenagången - under busstorget,15380744,,Nej,I funktion,Ja,201802240000.0,,1,,42,Toalett,POINT (154631.021 6575850.328),POINT (18.08127713116306 59.29783755150862),18.08127713116306,59.29783755150862,,
42,Götgatan - Tjärhovsgatan,G63,1.0,1.0,"Tillgänglighetsanpassad, integrerad cykelpump",,202209010758.0,1538073001186014.0,201802282113.0,Danfo,,15303196,1,Danfo,Grön,,Trafikkontoret,103,,,G63,Götgatan - Tjärhovsgatan,Götgatan - Tjärhovsgatan,Paragon 101,Götgatan - Tjärhovsgatan,15380730,,Nej,I funktion,Ja,201802240000.0,,1,,43,Toalett,POINT (154142.001 6577756.313),POINT (18.07273106633269 59.31495192551015),18.07273106633269,59.31495192551015,,
43,Valhallavägen 78 - busstorget,G54,1.0,,Tillgänglighetsanpassad,,202401170857.0,1538072101186005.0,201802282113.0,JCDecaux,,15303196,1,JCDecaux,Grå,,Trafikkontoret,1150079BT,,,G54,Valhallavägen 78 - busstorget,Valhallavägen 78 - busstorget,Midi,Valhallavägen 78 - busstorget,15380721,,Nej,I funktion,Ja,201802240000.0,,1,,44,Toalett,POINT (154105.978 6581150.212),POINT (18.07216308408878 59.34541790584331),18.07216308408878,59.34541790584331,,
44,Bangårdsgången - Fatburstrappan 20,G68,,,Tillgänglighetsanpassad,,202209010757.0,1538073601664440.0,201802282113.0,Danfo,,15303196,1,Danfo,Grön,,Trafikkontoret,146,,,G68,Bangårdsgången - Fatburstrappan 20,Bangårdsgången - Fatburstrappan 20,Paragon 101,Bangårdsgången - Fatburstrappan 20,15380736,,Nej,I funktion,Ja,201802240000.0,,1,,45,Toalett,POINT (153927.784 6577736.2633),POINT (18.068969182415472 59.31477399212146),18.068969182415472,59.31477399212146,,
45,"Brunnsviksvägen, Bellevueparken",G28,,,Tillgänglighetsanpassad WC,,202401170858.0,1530324201460640.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Grön,,Trafikkontoret,1150038BT,,,G28,"Brunnsviksvägen, Bellevueparken","Brunnsviksvägen, Bellevueparken",Midi,"Brunnsviksvägen, Bellevueparken",15303242,,Ja,I funktion,Ja,201801080000.0,,1,,46,Toalett,POINT (152733.2497 6581980.648),POINT (18.0480477517416 59.35288348735498),18.0480477517416,59.35288348735498,,
46,Gustavlundsvägen 50 - Vidängsplan,G66,,,Tillgänglighetsanpassad,,202401170858.0,1538073301186017.0,201802282113.0,JCDecaux,,15303196,1,JCDecaux,Grå,,Trafikkontoret,1150075BT,,,G66,Gustavlundsvägen 50 - Vidängsplan,Gustavlundsvägen 50 - Vidängsplan,Midi,Gustavlundsvägen 50 - Vidängsplan,15380733,,Nej,I funktion,Ja,201802240000.0,,1,,47,Toalett,POINT (148869.542 6579768.294),POINT (17.98013929074398 59.33303146095541),17.98013929074398,59.33303146095541,,
47,Odengatan 77,G92,,,Tillgänglighets anspassad,,202401170859.0,1725054602148170.0,202002241526.0,JCDecaux,,15303196,1,JCDecaux,Ljusgrå,,Trafikkontoret,1150072BT,,,G92,Odengatan 77,Odengatan 77,Midi,Odengatan 77,17250546,,,I funktion,Ja,202002241500.0,,1,,48,Toalett,POINT (152778.3966 6580834.3506),POINT (18.04882661520393 59.34259337797561),18.04882661520393,59.34259337797561,,
48,Hamngatan 2,G55,,,"Tillgänglighetsanpassad, integrerad cykelpump",,202402050902.0,1538072201186006.0,201802282113.0,Danfo,,15303196,1,Danfo,Okänt,,Trafikkontoret,48,,,G55,Hamngatan 2,Hamngatan 2,Paragon 101,Hamngatan 2,15380722,,,I funktion,Ja,201802240000.0,,1,,49,Toalett,POINT (154284.677 6579752.826),POINT (18.075275983141438 59.332872391587394),18.075275983141438,59.332872391587394,,
49,Kista torg - vid Kista kyrka,G70,,,Tillgänglighetsanpassad,,202401170859.0,1538073901186023.0,201802282113.0,Danfo,,15303196,1,Danfo,Okänt,,Trafikkontoret,277,,,G70,Kista torg - vid Kista kyrka,Kista torg - vid Kista kyrka,Paragon 101,Kista torg - vid Kista kyrka,15380739,,,I funktion,Ja,201802240000.0,,1,,50,Toalett,POINT (146733.65 6587425.54),POINT (17.942498228522915 59.40175590197195),17.942498228522915,59.40175590197195,,
50,Skeppsbron,G24,,,"Tillgänglighetsanpassad WC, 2 x WC, 1 x urinoar",,202401170900.0,1530323701134721.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Grå,,Trafikkontoret,1150033BT,,,G24,Skeppsbron,Skeppsbron,Jumbo,Skeppsbron,15303237,,,I funktion,Ja,201801080000.0,,1,,51,Toalett,POINT (154319.4941 6578926.5838),POINT (18.075871138796295 59.32545520161693),18.075871138796295,59.32545520161693,,
51,Telefonplan/ Mikrofonvägen,G08,,,Tillgänglighetsanpassad WC,,202510130746.0,1530322105565521.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Grå,,Trafikkontoret,1150013BT,,,G08,Telefonplan/ Mikrofonvägen,Telefonplan/ Mikrofonvägen,Midi,Telefonplan/ Mikrofonvägen,15303221,,,I funktion,Ja,201801080000.0,,1,,52,Toalett,POINT (149827.7772 6575862.359),POINT (17.996977377641674 59.29797086686588),17.996977377641674,59.29797086686588,,
52,Odengatan 90 - parken,G64,,,Tillgänglighetsanpassad,,202401230730.0,1538073101186015.0,201802282113.0,JCDecaux,,15303196,1,JCDecaux,Grå,,Trafikkontoret,1150086BT,,,G64,Odengatan 90 - parken,Odengatan 90 - parken,Midi,Odengatan 90 - parken,15380731,,,I funktion,Ja,201802240000.0,,1,,53,Toalett,POINT (152431.745 6580622.801),POINT (18.042732292536837 59.34069652586281),18.042732292536837,59.34069652586281,,
53,Slottsbacken - Österlånggatan,G53,,,"Tillgänglighetsanpassad, integrerad cykelpump",,202401170901.0,1538072001186004.0,201802282113.0,Danfo,,15303196,1,Danfo,Grön,,Trafikkontoret,37,,,G53,Slottsbacken - Österlånggatan,Slottsbacken - Österlånggatan,Paragon 101,Slottsbacken - Österlånggatan,15380720,,,I funktion,Ja,201802240000.0,,1,,54,Toalett,POINT (154160.138 6579001.246),POINT (18.07307351872421 59.32612701291634),18.07307351872421,59.32612701291634,,
